#,Company,Symbol,Weight,Price,Chg,% Chg,Symbol_modified
125,Estee Lauder Companies Inc. Class A,EL,0.168527,250.56,10.13,(4.21%),EL
126,3M Company,MMM,0.168441,103.32,1.58,(1.55%),MMM
127,Crown Castle Inc.,CCI,0.165728,127.00,-0.49,(-0.38%),CCI
128,Intercontinental Exchange Inc.,ICE,0.164797,99.85,0.75,(0.76%),ICE
129,Freeport-McMoRan Inc.,FCX,0.163267,38.89,0.52,(1.35%),FCX
130,HCA Healthcare Inc,HCA,0.161961,254.24,-0.24,(-0.10%),HCA
131,KLA Corporation,KLAC,0.155784,397.50,26.49,(7.14%),KLAC
132,O'Reilly Automotive Inc.,ORLY,0.153927,830.36,1.51,(0.18%),ORLY
133,FedEx Corporation,FDX,0.153513,223.10,2.66,(1.21%),FDX
134,Valero Energy Corporation,VLO,0.152678,137.55,1.53,(1.12%),VLO
135,General Dynamics Corporation,GD,0.152301,225.65,0.15,(0.07%),GD
136,Sherwin-Williams Company,SHW,0.151729,201.55,-10.20,(-4.80%),SHW
137,PNC Financial Services Group Inc.,PNC,0.151401,127.84,0.98,(0.77%),PNC
138,General Mills Inc.,GIS,0.151332,85.23,0.46,(0.54%),GIS
139,Edwards Lifesciences Corporation,EW,0.150307,80.80,0.31,(0.38%),EW
140,Moderna Inc.,MRNA,0.147148,148.30,1.38,(0.94%),MRNA
141,U.S. Bancorp,USB,0.146109,35.85,0.29,(0.81%),USB
142,General Motors Company,GM,0.144497,34.73,0.51,(1.49%),GM
143,McKesson Corporation,MCK,0.143907,328.50,-26.00,(-7.33%),MCK
144,Emerson Electric Co.,EMR,0.142183,82.04,-1.66,(-1.98%),EMR
145,Amphenol Corporation Class A,APH,0.139897,78.22,0.13,(0.16%),APH
146,Norfolk Southern Corporation,NSC,0.139023,205.56,0.97,(0.47%),NSC
147,Pioneer Natural Resources Company,PXD,0.138851,200.79,3.02,(1.53%),PXD
148,Dollar General Corporation,DG,0.13852,211.23,3.10,(1.49%),DG
149,Moody's Corporation,MCO,0.1384,285.25,-8.74,(-2.97%),MCO
150,Motorola Solutions Inc.,MSI,0.137891,245.76,-27.10,(-9.94%),MSI
151,Roper Technologies Inc.,ROP,0.137018,324.31,-108.00,(-24.93%),ROP
152,Chipotle Mexican Grill Inc.,CMG,0.136854,"1,683.59",30.69,(1.86%),CMG
153,American Electric Power Company Inc.,AEP,0.136618,89.50,0.57,(0.64%),AEP
154,Sempra Energy,SRE,0.13622,144.90,-0.55,(-0.38%),SRE
155,Public Storage,PSA,0.136134,282.30,0.30,(0.11%),PSA
156,Ford Motor Company,F,0.136115,11.72,0.12,(1.03%),F
157,Dominion Energy Inc,D,0.135657,54.30,-0.42,(-0.77%),D
158,NXP Semiconductors NV,NXPI,0.135528,177.71,4.50,(2.60%),NXPI
159,Phillips 66,PSX,0.134869,101.87,3.09,(3.13%),PSX
160,DexCom Inc.,DXCM,0.134614,116.91,3.09,(2.72%),DXCM
161,AutoZone Inc.,AZO,0.133646,"1,922.00",-483.00,(-20.09%),AZO
162,Kimberly-Clark Corporation,KMB,0.132283,132.00,0.43,(0.32%),KMB
163,Truist Financial Corporation,TFC,0.131783,32.92,-0.50,(-1.50%),TFC
164,Occidental Petroleum Corporation,OXY,0.130228,62.94,0.73,(1.17%),OXY
165,MSCI Inc. Class A,MSCI,0.129762,540.71,-2.19,(-0.40%),MSCI
166,Autodesk Inc.,ADSK,0.129079,203.85,6.58,(3.34%),ADSK
167,Archer-Daniels-Midland Company,ADM,0.128244,79.08,0.53,(0.67%),ADM
168,Microchip Technology Incorporated,MCHP,0.127779,78.43,0.57,(0.73%),MCHP
169,Marriott International Inc. Class A,MAR,0.126505,163.52,4.54,(2.85%),MAR
170,Parker-Hannifin Corporation,PH,0.12524,285.67,-42.10,(-12.84%),PH
171,Trane Technologies plc,TT,0.125163,183.06,0.37,(0.20%),TT
172,Arista Networks Inc.,ANET,0.125023,165.15,2.15,(1.32%),ANET
173,Fortinet Inc.,FTNT,0.124555,64.85,0.58,(0.89%),FTNT
174,Corteva Inc,CTVA,0.123953,58.54,0.44,(0.76%),CTVA
175,IDEXX Laboratories Inc.,IDXX,0.121867,485.31,-2.83,(-0.58%),IDXX
176,Exelon Corporation,EXC,0.121102,41.05,0.23,(0.57%),EXC
177,Johnson Controls International plc,JCI,0.120678,58.95,0.04,(0.07%),JCI
178,TE Connectivity Ltd.,TEL,0.119805,124.62,0.18,(0.14%),TEL
179,Monster Beverage Corporation,MNST,0.119688,53.07,1.47,(2.86%),MNST
180,Ecolab Inc.,ECL,0.1194,160.24,0.06,(0.04%),ECL
181,Arthur J. Gallagher & Co.,AJG,0.118727,186.92,0.40,(0.22%),AJG
182,Agilent Technologies Inc.,A,0.118275,141.09,8.46,(6.37%),A
